track_name,artist_name,frequency,song_ids,release_date,popularity,images,preview,acousticness,danceability,energy,key,instrumentalness,liveness,loudness,mode,speechiness,valence,tempo,time_signature,label
All Night (feat. Knox Fortune),Chance the Rapper,3,60xaS8mYBKUW4VQQ666N0T,2016-05-27,65,https://i.scdn.co/image/ab67616d0000b273e71dd15fc5bdefd5bff70452,https://p.scdn.co/mp3-preview/e71d05fcd3cb55c3939692f541aeb6831bf5e592?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0358,0.704,0.777,2,0.0,0.151,-5.729,1,0.195,0.392,111.921,4,nina
All Night Longer,Sammy Adams,3,1vNn7rVQT6UtEW1NGH53fT,2012-08-20,61,https://i.scdn.co/image/ab67616d0000b273ecb183283d6b46115de516e6,https://p.scdn.co/mp3-preview/eb30f1ed85f2bf4ddd408bb9421d0697a6f755fc?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.000652,0.712,0.649,1,0.0,0.0683,-4.753,1,0.063,0.616,127.028,4,nina
All Night Parking (with Erroll Garner) Interlude,Adele,3,496vIKS2INz840xZaKncvR,2021-11-19,68,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7,https://p.scdn.co/mp3-preview/28ada454e2a17664b3ed4172038f84c84b005d1d?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.67,0.734,0.497,8,2.35e-05,0.194,-9.666,1,0.166,0.307,127.989,3,nina
All The Stars (with SZA),Kendrick Lamar,12,66kQ7wr4d2LwwSjr7HXcyr,2018-01-04,58,https://i.scdn.co/image/ab67616d0000b273c1a0ccc389f263d63d39175f,https://p.scdn.co/mp3-preview/037abff3c79cf9f7ba45d434ed0428471a55345d?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0287,0.705,0.628,5,0.0193,0.0863,-5.362,0,0.0489,0.465,96.799,4,nina
All The Wrong Reasons,Tom Petty and the Heartbreakers,7,0l1P0R2Pzbq8OmUTD0Btsj,1991-01-01,35,https://i.scdn.co/image/ab67616d0000b27327bd7d234a31296df34b9a64,https://p.scdn.co/mp3-preview/a6a6378a4b72860e3666137bc1ca68eb0473bc1b?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.338,0.32,0.523,5,0.0,0.293,-8.728,1,0.0312,0.524,158.004,4,nina
All Too Well,Taylor Swift,24,1q3RiD1tIWUpGsNFADMlvl,2012-10-22,64,https://i.scdn.co/image/ab67616d0000b273a7613d346501b828b56a0bc3,https://p.scdn.co/mp3-preview/5d487e1f146e6ed789453e2b0df95bee80124ddf?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0382,0.602,0.609,0,0.0002,0.127,-7.803,1,0.0243,0.337,93.06,4,nina
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,6,5enxwA8aAbwZbf5qCHORXi,2021-11-12,84,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,https://p.scdn.co/mp3-preview/bfe8fd2f71ccfbee50b74bd422a993e4cd069552?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.274,0.631,0.518,0,0.0,0.088,-8.771,1,0.0303,0.205,93.023,4,nina
All You Had To Do Was Stay,Taylor Swift,4,0dAb8TY433dl3ZfXYCLE19,2014-10-27,62,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,https://p.scdn.co/mp3-preview/6a087b6c5ecaa5cd01ee5f372606909b37a5c262?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.00196,0.602,0.736,5,4.57e-05,0.105,-5.778,1,0.0338,0.471,96.969,4,nina
Amber,311,8,51UtgWS4z1eMPuLQOzPtNH,2004-06-08,63,https://i.scdn.co/image/ab67616d0000b27362d0614b5dffca14a302b427,https://p.scdn.co/mp3-preview/4ea8cf1250949539452cb6bd8ee7a029a6d77a33?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.119,0.659,0.727,4,0.00427,0.1,-8.638,0,0.0455,0.748,166.163,4,nina
American Cliché,FINNEAS,6,2IFioAFD8QEIq17UwOaSFb,2021-02-04,55,https://i.scdn.co/image/ab67616d0000b273f431a2ae198bc9b6745a651e,https://p.scdn.co/mp3-preview/30b6538f5815d547d3318f61187eb4c336883617?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0732,0.772,0.503,11,0.0,0.0785,-7.603,0,0.0873,0.496,138.046,4,nina
